subject,description,category,attempts,last_feedback
Password reset not working on mobile,User cannot reset password on iOS app.,Technical,2,"The response lacks a clear structure and repeats the context unnecessarily. Remove the 'Context' heading and ensure the steps are presented more clearly. Also, add a more empathetic tone to acknowledge the user's frustration."
Password reset not working on mobile,User cannot reset password on iOS app.,Technical,2,The response lacks clarity and specificity for the iOS issue. Remove Android instructions as they are irrelevant. Ensure the steps are actionable and directly related to the user's problem on iOS.
Password reset not working on mobile,User cannot reset password on iOS app.,Technical,2,"The response lacks a clear acknowledgment of the user's specific issue and could be more concise. Remove the 'Context' label and ensure the steps are presented clearly. Also, add a more empathetic tone to show understanding of the user's frustration."
Password reset not working on mobile,User cannot reset password on iOS app.,Technical,2,The response lacks a clear structure and does not explicitly mention the steps to take before reaching out again. Revise to ensure the steps are clearly outlined and maintain a more professional tone.
Password reset not working on mobile,User cannot reset password on iOS app.,Technical,2,The response lacks a clear structure and does not directly cite the steps for password reset. Remove the 'Context' label and integrate the steps into the main body for clarity. Ensure the tone is more empathetic by acknowledging the user's frustration more explicitly.
Password reset not working on mobile,User cannot reset password on iOS app.,Technical,2,"The response lacks a clear structure and does not directly cite the steps for password reset. Remove the 'Context' label and ensure the instructions are presented clearly. Also, add a more empathetic tone to enhance user experience."
Refund not received after cancellation,Customer cancelled subscription within 7 days but still hasn’t seen refund. Wants confirmation on refund timeline.,Billing,2,The response lacks specific information about the refund timeline and does not directly address the customer's concern about the refund not being received. Include a clear statement about the refund policy and expected timeline for processing refunds after cancellation.
Password reset not working on mobile,"User cannot reset password on iOS app. Already updated the app, still no reset email received.",Technical,2,The response lacks a clear structure and does not directly cite the steps for resetting the password. Remove the 'Context' section and integrate the steps into the main body for clarity. Ensure the tone is more empathetic by acknowledging the user's frustration more explicitly.
Password reset not working on mobile,"User cannot reset password on iOS app. Already updated the app, still no reset email received.",Technical,2,The response lacks a clear structure and does not directly cite the steps for resetting the password. Remove the 'Context' section and integrate the steps into the main body for clarity. Ensure the tone is more empathetic by acknowledging the user's frustration more explicitly.
Password reset not working on mobile,"User cannot reset password on iOS app. Already updated the app, still no reset email received.",Technical,2,The response lacks a clear structure and does not directly address the user's issue with the reset email. Remove the context section and provide actionable steps without repeating the context. Ensure to ask for the user's email address to check if it was sent.
Admin lost access to 2FA,Admin lost authenticator app and needs to reset MFA.,Security,2,The response lacks specific actionable steps for identity verification required for the 2FA reset. Include clear instructions on how the admin can verify their identity to proceed with the reset.
Refund not received after subscription cancellation,I canceled my subscription last week but the refund hasn’t shown up in my account. Can you please check when I’ll get it?,Billing,2,Approved: grounded and actionable; minor style issues are acceptable.